addr,name,symbol_class,runtime_tier,branch_count,pool_count,total_callers,first_caller
0x0602E03C,FUN_0602E03C,global-FUN,real-call,2,2,4,src\race\FUN_0602B22C.s:4940 [branch]
0x0602E094,FUN_0602E094,global-FUN,real-call,0,3,3,src\race\FUN_06028000.s:473 [pool]
0x0602E3F4,FUN_0602E3F4,global-FUN,real-call,0,1,1,src\race\FUN_0602B22C.s:4465 [pool]
0x0602E538,FUN_0602E538,global-FUN,real-call,3,0,3,src\race\FUN_0602B22C.s:7065 [branch]
0x0602E610,FUN_0602E610,global-FUN,real-call,4,2,6,src\race\FUN_0602B22C.s:7245 [branch]
0x0602E738,DAT_0602E738,PROVIDE-alias,tail-call,0,2,2,src\race\FUN_0602B22C.s:13722 [pool]
0x0602E770,FUN_0602E770,global-FUN,real-call,1,2,3,src\race\FUN_0602B22C.s:7716 [branch]
0x0602E928,DAT_0602E928,PROVIDE-alias,real-call,0,1,1,src\race\FUN_0602B22C.s:3996 [pool]
0x0602E988,FUN_0602E988,global-FUN,real-call,0,2,2,src\race\FUN_06028000.s:471 [pool]
0x0602ED5A,DAT_0602ED5A,PROVIDE-alias,real-call,0,1,1,src\race\FUN_0602B22C.s:13269 [pool]
0x0602EDB4,DAT_0602EDB4,PROVIDE-alias,real-call,0,1,1,src\race\FUN_0602B22C.s:13889 [pool]
0x0602EE64,FUN_0602EE64,global-FUN,real-call,0,1,1,src\race\FUN_0602B22C.s:13588 [pool]
0x0602EEA4,FUN_0602EEA4,global-FUN,real-call,0,1,1,src\race\FUN_0602B22C.s:13893 [pool]
0x0602EED0,FUN_0602EED0,global-FUN,real-call,0,1,1,src\race\FUN_0602B22C.s:13584 [pool]
0x0602EF5C,FUN_0602EF5C,global-FUN,tail-call,2,1,3,src\race\FUN_0602B22C.s:8625 [branch]
0x0602F114,FUN_0602F114,global-FUN,real-call,0,2,2,src\race\FUN_0602B22C.s:4840 [pool]
0x0602F168,DAT_0602F168,PROVIDE-alias,real-call,0,5,5,src\race\FUN_0602B22C.s:14655 [pool]
0x0602F34A,FUN_0602F34A,global-FUN,real-call,1,2,3,src\race\FUN_0602B22C.s:9897 [branch]
0x0602F34A,DAT_0602F34A,PROVIDE-alias,real-call,1,2,3,src\race\FUN_06028000.s:2959 [pool]
0x0602F42C,DAT_0602F42C,PROVIDE-alias,real-call,0,1,1,src\race\FUN_0602B22C.s:14482 [pool]
0x0602F4A6,FUN_0602F4A6,global-FUN,real-call,0,1,1,src\race\FUN_0602B22C.s:14488 [pool]
0x0602F81E,DAT_0602F81E,PROVIDE-alias,real-call,0,2,2,src\race\FUN_0602B22C.s:3954 [pool]
0x0602F8E8,FUN_0602F8E8,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:2018 [pool]
0x0602FA76,FUN_0602FA76,global-FUN,tail-call,3,0,3,src\race\FUN_0602B22C.s:10024 [branch]
0x0602FA88,FUN_0602FA88,global-FUN,real-call,1,1,2,src\race\FUN_0602B22C.s:10389 [branch]
0x0602FACC,DAT_0602FACC,PROVIDE-alias,real-call,0,6,6,src\race\FUN_06028000.s:302 [pool]
0x0602FAEC,FUN_0602FAEC,global-FUN,tail-call,0,5,5,src\race\FUN_06028000.s:1965 [pool]
0x0602FB94,FUN_0602FB94,global-FUN,real-call,0,2,2,src\race\FUN_06028000.s:2797 [pool]
0x0602FCD4,FUN_0602FCD4,global-FUN,real-call,1,2,3,src\race\FUN_0602B22C.s:10443 [branch]
0x0602FCFE,FUN_0602FCFE,global-FUN,real-call,0,3,3,src\race\FUN_06028000.s:757 [pool]
0x0602FFC0,FUN_0602FFC0,global-FUN,real-call,1,4,5,src\race\FUN_0602B22C.s:10620 [branch]
0x0603004C,DAT_0603004C,PROVIDE-alias,real-call,0,8,8,src\race\FUN_0602B22C.s:13716 [pool]
0x06030090,FUN_06030090,global-FUN,real-call,2,1,3,src\race\FUN_0602B22C.s:10646 [branch]
0x0603043A,DAT_0603043A,PROVIDE-alias,real-call,0,1,1,src\race\FUN_0602B22C.s:13279 [pool]
0x06030488,DAT_06030488,PROVIDE-alias,real-call,0,1,1,src\race\FUN_0602B22C.s:13899 [pool]
0x06030520,FUN_06030520,global-FUN,tail-call,1,1,2,src\race\FUN_0602B22C.s:10635 [branch]
0x0603072A,FUN_0603072A,global-FUN,real-call,0,2,2,src\race\FUN_0602B22C.s:14321 [pool]
0x06030742,DAT_06030742,PROVIDE-alias,real-call,0,1,1,src\race\FUN_0602B22C.s:14470 [pool]
0x060307A0,FUN_060307A0,global-FUN,real-call,0,1,1,src\race\FUN_0602B22C.s:14476 [pool]
0x06030824,FUN_06030824,global-FUN,real-call,2,4,6,src\race\FUN_0602B22C.s:11680 [branch]
0x060308C0,FUN_060308C0,global-FUN,real-call,8,1,9,src\race\FUN_0602B22C.s:11684 [branch]
0x06030A1C,FUN_06030A1C,global-FUN,real-call,1,4,5,src\race\FUN_0602B22C.s:11563 [branch]
0x06030A48,FUN_06030A48,global-FUN,real-call,0,1,1,src\race\FUN_0602B22C.s:15581 [pool]
0x06030AD8,FUN_06030AD8,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:2737 [pool]
0x06030AFA,FUN_06030AFA,global-FUN,real-call,0,3,3,src\race\FUN_06028000.s:1076 [pool]
0x06030B7C,FUN_06030B7C,global-FUN,tail-call,0,1,1,src\race\FUN_06028000.s:2969 [pool]
0x06030C7C,FUN_06030C7C,global-FUN,real-call,0,3,3,src\race\FUN_06028000.s:789 [pool]
0x06030C9E,FUN_06030C9E,global-FUN,real-call,0,14,14,src\race\FUN_06028000.s:1086 [pool]
0x06030CE6,DAT_06030CE6,PROVIDE-alias,real-call,0,4,4,src\race\FUN_0602B22C.s:1061 [pool]
0x06030D20,FUN_06030D20,global-FUN,real-call,0,3,3,src\race\FUN_06028000.s:415 [pool]
0x06030EC8,FUN_06030EC8,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:2813 [pool]
0x06030FEA,FUN_06030FEA,global-FUN,tail-call,2,0,2,src\race\FUN_0602B22C.s:13188 [branch]
0x06031008,FUN_06031008,global-FUN,real-call,0,4,4,src\race\FUN_06028000.s:751 [pool]
0x060312E0,FUN_060312E0,global-FUN,real-call,1,0,1,src\race\FUN_0602B22C.s:13533 [branch]
0x060313FC,FUN_060313FC,global-FUN,real-call,0,4,4,src\race\FUN_06028000.s:777 [pool]
0x0603164A,FUN_0603164A,global-FUN,real-call,0,4,4,src\race\FUN_06028000.s:779 [pool]
0x060317AC,FUN_060317AC,global-FUN,tail-call,1,0,1,src\race\FUN_0602B22C.s:14250 [branch]
0x060317DC,FUN_060317DC,global-FUN,tail-call,7,0,7,src\race\FUN_0602B22C.s:14253 [branch]
0x06031B0C,FUN_06031B0C,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:797 [pool]
0x06031CC2,FUN_06031CC2,global-FUN,real-call,1,1,2,src\race\FUN_0602B22C.s:15742 [branch]
0x06031DFA,FUN_06031DFA,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:799 [pool]
0x06031F2C,FUN_06031F2C,global-FUN,real-call,2,0,2,src\race\FUN_0602B22C.s:15305 [branch]
0x06032010,FUN_06032010,global-FUN,real-call,3,0,3,src\race\FUN_0602B22C.s:15285 [branch]
0x0603234C,FUN_0603234C,global-FUN,real-call,0,3,3,src\race\FUN_06028000.s:1110 [pool]
0x060324E8,FUN_060324E8,global-FUN,real-call,7,0,7,src\race\FUN_060324E8.s:544 [branch]
0x06032AB0,FUN_06032AB0,global-FUN,tail-call,0,2,2,src\race\FUN_06032E44.s:426 [pool]
0x06032BAC,FUN_06032BAC,global-FUN,real-call,0,2,2,src\race\FUN_06032E44.s:1013 [pool]
0x06032E14,FUN_06032E14,global-FUN,real-call,9,0,9,src\race\FUN_060324E8.s:828 [branch]
0x06032E44,FUN_06032E44,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:787 [pool]
0x060330B0,FUN_060330B0,global-FUN,real-call,1,2,3,src\race\FUN_06032E44.s:213 [branch]
0x0603336C,FUN_0603336C,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:807 [pool]
0x0603353C,FUN_0603353C,global-FUN,real-call,2,0,2,src\race\FUN_06032E44.s:338 [branch]
0x06033830,FUN_06033830,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:2290 [pool]
0x06033970,FUN_06033970,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:2278 [pool]
0x06033A78,FUN_06033A78,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:2280 [pool]
0x06033AAC,FUN_06033AAC,global-FUN,real-call,0,2,2,src\race\FUN_06028000.s:2753 [pool]
0x06033AFA,FUN_06033AFA,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:2304 [pool]
0x06033B64,FUN_06033B64,global-FUN,real-call,0,0,0,
0x06034CEC,FUN_06034CEC,global-FUN,real-call,0,2,2,src\race\FUN_06028000.s:2785 [pool]
0x06034D32,FUN_06034D32,global-FUN,real-call,0,2,2,src\race\FUN_06028000.s:2787 [pool]
0x06034D90,FUN_06034D90,global-FUN,real-call,1,0,1,src\race\FUN_06033DC8.s:2762 [branch]
0x06034F3C,FUN_06034F3C,global-FUN,real-call,2,0,2,src\race\FUN_06033DC8.s:2147 [branch]
0x060351CC,FUN_060351CC,global-FUN,real-call,0,3,3,src\race\FUN_06028000.s:409 [pool]
0x060352E8,DAT_060352E8,PROVIDE-alias,real-call,0,1,1,src\race\FUN_060351CC.s:6649 [pool]
0x0603533C,DAT_0603533C,PROVIDE-alias,tail-call,0,1,1,src\race\FUN_060351CC.s:196 [pool]
0x060354A0,FUN_060354A0,global-FUN,real-call,0,1,1,src\race\FUN_0604D380.s:100 [pool]
0x06035624,FUN_06035624,global-FUN,real-call,2,0,2,src\race\FUN_060351CC.s:417 [branch]
0x06035748,FUN_06035748,global-FUN,tail-call,1,0,1,src\race\FUN_060351CC.s:645 [branch]
0x06035750,FUN_06035750,global-FUN,real-call,0,1,1,src\race\FUN_0604D380.s:102 [pool]
0x06035904,FUN_06035904,global-FUN,real-call,0,1,1,src\race\FUN_0604D380.s:104 [pool]
0x06035B0E,FUN_06035B0E,global-FUN,real-call,1,0,1,src\race\FUN_060351CC.s:1270 [branch]
0x06035B30,FUN_06035B30,global-FUN,real-call,1,0,1,src\race\FUN_060351CC.s:1329 [branch]
0x06035C58,FUN_06035C58,global-FUN,real-call,3,0,3,src\race\FUN_060351CC.s:1461 [branch]
0x06035C98,FUN_06035C98,global-FUN,real-call,0,1,1,src\race\FUN_0604D380.s:167 [pool]
0x06035EE8,FUN_06035EE8,global-FUN,real-call,0,2,2,src\race\FUN_0604D380.s:169 [pool]
0x06035F48,FUN_06035F48,global-FUN,real-call,0,1,1,src\race\FUN_0604D380.s:165 [pool]
0x060366EC,DAT_060366EC,PROVIDE-alias,real-call,0,2,2,src\race\FUN_0604D380.s:171 [pool]
0x06036790,FUN_06036790,global-FUN,real-call,1,2,3,src\race\FUN_060351CC.s:3214 [branch]
0x0603679A,FUN_0603679A,global-FUN,isr-entered,0,0,0,
0x060368D4,FUN_060368D4,global-FUN,real-call,1,0,1,src\race\FUN_060351CC.s:3658 [branch]
0x06036914,FUN_06036914,global-FUN,real-call,1,0,1,src\race\FUN_060351CC.s:3672 [branch]
0x06036948,FUN_06036948,global-FUN,real-call,1,0,1,src\race\FUN_060351CC.s:3667 [branch]
0x06036990,FUN_06036990,global-FUN,tail-call,1,0,1,src\race\FUN_060351CC.s:3443 [branch]
0x06036A0E,FUN_06036A0E,global-FUN,isr-entered,1,0,1,src\race\FUN_060351CC.s:4871 [branch]
