addr,name,kind_predicted,branch_callers,pool_callers,total_callers,first_caller
0x0604F4F4,DAT_0604F4F4,data,0,1,1,src\race\FUN_060324E8.s:212 [pool]
0x0604F504,DAT_0604F504,data,0,1,1,src\race\FUN_060324E8.s:575 [pool]
0x0604F50C,DAT_0604F50C,data,0,1,1,src\race\FUN_06032E44.s:153 [pool]
0x0604F518,DAT_0604F518,data,0,1,1,src\race\FUN_06032E44.s:1631 [pool]
0x0604F524,DAT_0604F524,data,0,1,1,src\race\FUN_06032E44.s:1633 [pool]
0x0604F52E,DAT_0604F52E,data,0,1,1,src\race\FUN_06032E44.s:1705 [pool]
0x0604F53A,DAT_0604F53A,data,0,1,1,src\race\FUN_06032E44.s:1707 [pool]
0x0604F544,DAT_0604F544,data,0,1,1,src\race\FUN_06032E44.s:1709 [pool]
0x0604F54E,DAT_0604F54E,data,0,1,1,src\race\FUN_06032E44.s:1985 [pool]
0x0604F55A,DAT_0604F55A,data,0,1,1,src\race\FUN_06032E44.s:1991 [pool]
0x0604F568,DAT_0604F568,data,0,1,1,src\race\FUN_06032E44.s:1997 [pool]
0x0604F575,DAT_0604F575,data,0,1,1,src\race\FUN_06032E44.s:1999 [pool]
0x0604F57C,DAT_0604F57C,data,0,1,1,src\race\FUN_06032E44.s:2003 [pool]
0x0604F588,DAT_0604F588,data,0,1,1,src\race\FUN_06032E44.s:2007 [pool]
0x0604F594,DAT_0604F594,data,0,1,1,src\race\FUN_06032E44.s:2009 [pool]
0x0604F5A0,DAT_0604F5A0,data,0,1,1,src\race\FUN_06032E44.s:2011 [pool]
0x0604F5AC,DAT_0604F5AC,data,0,1,1,src\race\FUN_06032E44.s:2013 [pool]
0x0604F5B8,DAT_0604F5B8,data,0,1,1,src\race\FUN_06032E44.s:2015 [pool]
0x0604F5C4,DAT_0604F5C4,data,0,1,1,src\race\FUN_06032E44.s:2017 [pool]
0x0604F5D0,DAT_0604F5D0,data,0,1,1,src\race\FUN_06032E44.s:2019 [pool]
0x0604F5DC,DAT_0604F5DC,data,0,1,1,src\race\FUN_06032E44.s:2021 [pool]
0x0604F5E4,DAT_0604F5E4,data,0,1,1,src\race\FUN_06032E44.s:2023 [pool]
0x0604F5F4,DAT_0604F5F4,data,0,1,1,src\race\FUN_06032E44.s:2025 [pool]
0x0604F604,DAT_0604F604,data,0,1,1,src\race\FUN_06032E44.s:2027 [pool]
0x0604F614,DAT_0604F614,data,0,1,1,src\race\FUN_06032E44.s:2029 [pool]
0x0604F624,DAT_0604F624,data,0,1,1,src\race\FUN_06032E44.s:2031 [pool]
0x0604F630,DAT_0604F630,data,0,1,1,src\race\FUN_06032E44.s:2033 [pool]
0x0604F63C,DAT_0604F63C,data,0,1,1,src\race\FUN_06032E44.s:2189 [pool]
0x0604F64C,DAT_0604F64C,data,0,1,1,src\race\FUN_06032E44.s:2191 [pool]
0x0604F65C,DAT_0604F65C,data,0,1,1,src\race\FUN_06032E44.s:2193 [pool]
0x0604F668,DAT_0604F668,data,0,1,1,src\race\FUN_06032E44.s:2195 [pool]
0x0604F678,DAT_0604F678,data,0,1,1,src\race\FUN_06033DC8.s:1716 [pool]
0x0604F684,DAT_0604F684,sibling-lost,0,1,1,src\race\FUN_0602B22C.s:8470 [pool]
0x0604F6A2,DAT_0604F6A2,data,0,1,1,src\race\FUN_0602B22C.s:8476 [pool]
0x0604F7E4,DAT_0604F7E4,data,0,3,3,src\race\FUN_06033DC8.s:2621 [pool]
0x0604F85C,DAT_0604F85C,data,0,1,1,src\race\FUN_06033DC8.s:2797 [pool]
0x0604F870,DAT_0604F870,data,0,1,1,src\race\FUN_06033DC8.s:2437 [pool]
0x0604F99C,DAT_0604F99C,data,0,1,1,src\race\FUN_060351CC.s:8739 [pool]
0x0604F9AC,DAT_0604F9AC,data,0,1,1,src\race\FUN_060351CC.s:8737 [pool]
0x0604F9B4,DAT_0604F9B4,data,0,1,1,src\race\FUN_060351CC.s:8574 [pool]
0x0604F9BC,DAT_0604F9BC,data,0,4,4,src\race\FUN_060351CC.s:7665 [pool]
0x0604F9D0,DAT_0604F9D0,data,0,1,1,src\race\FUN_060351CC.s:9457 [pool]
0x0604F9F8,DAT_0604F9F8,data,0,1,1,src\race\FUN_060351CC.s:10942 [pool]
0x0604FA48,DAT_0604FA48,data,0,1,1,src\race\FUN_060351CC.s:11749 [pool]
0x0604FA98,DAT_0604FA98,data,0,1,1,src\race\FUN_060351CC.s:12040 [pool]
0x0604FAD4,DAT_0604FAD4,data,0,2,2,src\race\FUN_060351CC.s:11755 [pool]
0x0604FADE,DAT_0604FADE,data,0,1,1,src\race\FUN_060351CC.s:12038 [pool]
0x0604FAE8,DAT_0604FAE8,data,0,1,1,src\race\FUN_0604D380.s:5338 [pool]
0x0604FAF0,DAT_0604FAF0,data,0,1,1,src\race\FUN_0604D380.s:5346 [pool]
0x0604FAF8,DAT_0604FAF8,data,0,1,1,src\race\FUN_0604D380.s:5354 [pool]
0x0604FB00,DAT_0604FB00,data,0,1,1,src\race\FUN_0604D380.s:5362 [pool]
0x0604FB08,DAT_0604FB08,data,0,1,1,src\race\FUN_0604D380.s:5370 [pool]
0x0604FB10,DAT_0604FB10,data,0,1,1,src\race\FUN_0604D380.s:3468 [pool]
0x0604FB28,DAT_0604FB28,data,0,1,1,src\race\FUN_0604D380.s:3469 [pool]
0x0604FB40,DAT_0604FB40,data,0,1,1,src\race\FUN_0604D380.s:3470 [pool]
0x0604FB58,DAT_0604FB58,data,0,1,1,src\race\FUN_0604D380.s:3471 [pool]
0x0604FB70,DAT_0604FB70,data,0,1,1,src\race\FUN_0604D380.s:3472 [pool]
0x0604FB88,DAT_0604FB88,data,0,1,1,src\race\FUN_0603B940.s:1096 [pool]
0x0604FE5C,DAT_0604FE5C,data,0,2,2,src\race\FUN_0603C304.s:1257 [pool]
0x0604FE64,DAT_0604FE64,data,0,1,1,src\race\FUN_0604D380.s:6139 [pool]
0x0604FF4E,DAT_0604FF4E,data,0,1,1,src\race\FUN_0604D380.s:6158 [pool]
0x0604FFC0,DAT_0604FFC0,data,0,1,1,src\race\FUN_0604D380.s:6177 [pool]
0x0605006E,DAT_0605006E,data,0,1,1,src\race\FUN_0604D380.s:6196 [pool]
0x060500E0,DAT_060500E0,data,0,1,1,src\race\FUN_0604D380.s:6215 [pool]
0x06050154,DAT_06050154,data,0,1,1,src\race\FUN_0603C304.s:2424 [pool]
0x06050160,DAT_06050160,data,0,8,8,src\race\FUN_060351CC.s:9453 [pool]
0x06050228,DAT_06050228,data,0,1,1,src\race\FUN_0603C304.s:1259 [pool]
0x06050230,DAT_06050230,data,0,1,1,src\race\FUN_0603C304.s:8297 [pool]
0x06050244,DAT_06050244,data,0,1,1,src\race\FUN_0603C304.s:3585 [pool]
0x06050288,DAT_06050288,data,0,1,1,src\race\FUN_0603C304.s:3583 [pool]
0x06050298,DAT_06050298,data,0,1,1,src\race\FUN_0603C304.s:2434 [pool]
0x060502AC,DAT_060502AC,data,0,1,1,src\race\FUN_0604D380.s:6559 [pool]
0x060502B0,DAT_060502B0,data,0,1,1,src\race\FUN_0604D380.s:6560 [pool]
0x060502B4,DAT_060502B4,data,0,1,1,src\race\FUN_0604D380.s:6561 [pool]
0x060502B8,DAT_060502B8,data,0,1,1,src\race\FUN_0604D380.s:6562 [pool]
0x060502BC,DAT_060502BC,data,0,1,1,src\race\FUN_0604D380.s:6563 [pool]
0x060502C0,DAT_060502C0,data,0,1,1,src\race\FUN_0604D380.s:6564 [pool]
0x060502C4,DAT_060502C4,data,0,1,1,src\race\FUN_0604D380.s:6565 [pool]
0x060502C8,DAT_060502C8,data,0,1,1,src\race\FUN_0604D380.s:6566 [pool]
0x060502CC,DAT_060502CC,data,0,1,1,src\race\FUN_0604D380.s:6567 [pool]
0x060502D0,DAT_060502D0,data,0,1,1,src\race\FUN_0604D380.s:6568 [pool]
0x060502DA,DAT_060502DA,data,0,1,1,src\race\FUN_0604D380.s:6569 [pool]
0x060502E4,DAT_060502E4,data,0,1,1,src\race\FUN_0604D380.s:6570 [pool]
0x060502EE,DAT_060502EE,data,0,1,1,src\race\FUN_0604D380.s:6571 [pool]
0x060502F8,DAT_060502F8,data,0,1,1,src\race\FUN_0604D380.s:6572 [pool]
0x06050302,DAT_06050302,data,0,1,1,src\race\FUN_0604D380.s:6573 [pool]
0x0605030C,DAT_0605030C,data,0,1,1,src\race\FUN_0604D380.s:6574 [pool]
0x06050316,DAT_06050316,data,0,1,1,src\race\FUN_0604D380.s:6575 [pool]
0x06050320,DAT_06050320,data,0,1,1,src\race\FUN_0604D380.s:6576 [pool]
0x0605032A,DAT_0605032A,data,0,1,1,src\race\FUN_0604D380.s:6577 [pool]
0x0605033E,DAT_0605033E,data,0,1,1,src\race\FUN_0604D380.s:6578 [pool]
0x06050352,DAT_06050352,data,0,1,1,src\race\FUN_0604D380.s:6579 [pool]
0x06050366,DAT_06050366,data,0,1,1,src\race\FUN_0604D380.s:6580 [pool]
0x0605037A,DAT_0605037A,data,0,1,1,src\race\FUN_0604D380.s:6581 [pool]
0x0605038E,DAT_0605038E,data,0,1,1,src\race\FUN_0604D380.s:6582 [pool]
0x060503A2,DAT_060503A2,data,0,1,1,src\race\FUN_0604D380.s:6583 [pool]
0x060503B6,DAT_060503B6,data,0,1,1,src\race\FUN_0604D380.s:6584 [pool]
0x060503CA,DAT_060503CA,data,0,1,1,src\race\FUN_0604D380.s:6585 [pool]
0x060503DE,DAT_060503DE,data,0,1,1,src\race\FUN_0604D380.s:6586 [pool]
0x060503E6,DAT_060503E6,data,0,1,1,src\race\FUN_0604D380.s:6587 [pool]
0x060503EE,DAT_060503EE,data,0,1,1,src\race\FUN_0604D380.s:6588 [pool]
0x060503F6,DAT_060503F6,data,0,1,1,src\race\FUN_0604D380.s:6589 [pool]
0x060503FE,DAT_060503FE,data,0,1,1,src\race\FUN_0604D380.s:6590 [pool]
0x06050406,DAT_06050406,data,0,1,1,src\race\FUN_0604D380.s:6591 [pool]
0x0605040E,DAT_0605040E,data,0,1,1,src\race\FUN_0604D380.s:6592 [pool]
0x06050416,DAT_06050416,data,0,1,1,src\race\FUN_0604D380.s:6593 [pool]
0x0605041E,DAT_0605041E,data,0,1,1,src\race\FUN_0604D380.s:6594 [pool]
0x06050426,DAT_06050426,data,0,1,1,src\race\FUN_0604D380.s:6595 [pool]
0x0605043A,DAT_0605043A,data,0,1,1,src\race\FUN_0604D380.s:6596 [pool]
0x0605044E,DAT_0605044E,data,0,1,1,src\race\FUN_0604D380.s:6597 [pool]
0x06050462,DAT_06050462,data,0,1,1,src\race\FUN_0604D380.s:6598 [pool]
0x06050476,DAT_06050476,data,0,1,1,src\race\FUN_0604D380.s:6599 [pool]
0x0605048A,DAT_0605048A,data,0,1,1,src\race\FUN_0604D380.s:6600 [pool]
0x0605049E,DAT_0605049E,data,0,1,1,src\race\FUN_0604D380.s:6601 [pool]
0x060504B2,DAT_060504B2,data,0,1,1,src\race\FUN_0604D380.s:6602 [pool]
0x060504C6,DAT_060504C6,data,0,1,1,src\race\FUN_0604D380.s:6603 [pool]
0x060504DC,DAT_060504DC,data,0,1,1,src\race\FUN_0603C304.s:1927 [pool]
0x06050590,DAT_06050590,data,0,1,1,src\race\FUN_0603C304.s:2438 [pool]
0x06050644,DAT_06050644,data,0,1,1,src\race\FUN_0603C304.s:6556 [pool]
0x06050B78,DAT_06050B78,data,0,1,1,src\race\FUN_0604025C.s:370 [pool]
0x06050B84,DAT_06050B84,data,0,1,1,src\race\FUN_0604025C.s:374 [pool]
0x06050B90,DAT_06050B90,data,0,1,1,src\race\FUN_0604025C.s:404 [pool]
0x06050B9C,DAT_06050B9C,data,0,1,1,src\race\FUN_0604025C.s:406 [pool]
0x06050BA8,DAT_06050BA8,data,0,1,1,src\race\FUN_0604025C.s:408 [pool]
0x06050BB4,DAT_06050BB4,data,0,1,1,src\race\FUN_0604025C.s:410 [pool]
0x06050BC0,DAT_06050BC0,data,0,1,1,src\race\FUN_0604025C.s:412 [pool]
0x06050BCC,DAT_06050BCC,data,0,1,1,src\race\FUN_0604025C.s:414 [pool]
0x06050BD8,DAT_06050BD8,data,0,1,1,src\race\FUN_0604025C.s:460 [pool]
0x06050BE4,DAT_06050BE4,data,0,1,1,src\race\FUN_0604025C.s:462 [pool]
0x06050BF0,DAT_06050BF0,data,0,1,1,src\race\FUN_0604D380.s:3473 [pool]
0x06050BFC,DAT_06050BFC,data,0,1,1,src\race\FUN_0604D380.s:3474 [pool]
0x06050C08,DAT_06050C08,data,0,2,2,src\race\FUN_0604025C.s:2727 [pool]
0x06050C14,DAT_06050C14,data,0,2,2,src\race\FUN_0604025C.s:2731 [pool]
0x06050C20,DAT_06050C20,data,0,1,1,src\race\FUN_0604025C.s:3474 [pool]
0x06050C48,DAT_06050C48,data,0,1,1,src\race\FUN_0604025C.s:3322 [pool]
0x06050C54,DAT_06050C54,data,0,1,1,src\race\FUN_0604025C.s:2899 [pool]
0x06050C58,DAT_06050C58,data,0,1,1,src\race\FUN_0604025C.s:3697 [pool]
0x06050C60,DAT_06050C60,data,0,1,1,src\race\FUN_0604025C.s:2909 [pool]
0x06050C6C,DAT_06050C6C,data,0,2,2,src\race\FUN_0604025C.s:2905 [pool]
0x06050D2C,DAT_06050D2C,data,0,1,1,src\race\FUN_0604025C.s:4178 [pool]
0x06050D58,DAT_06050D58,data,0,2,2,src\race\FUN_0604256C.s:130 [pool]
0x06050DDC,DAT_06050DDC,data,0,1,1,src\race\FUN_0604D380.s:3487 [pool]
0x06050E7C,DAT_06050E7C,data,0,1,1,src\race\FUN_0604D380.s:3490 [pool]
0x06050F6C,DAT_06050F6C,data,0,1,1,src\race\FUN_0604D380.s:3493 [pool]
0x0605119C,DAT_0605119C,data,0,1,1,src\race\FUN_0604D380.s:3496 [pool]
0x0605124C,DAT_0605124C,data,0,1,1,src\race\FUN_0604D380.s:3499 [pool]
0x060512BC,DAT_060512BC,data,0,1,1,src\race\FUN_06042998.s:156 [pool]
0x060514CC,DAT_060514CC,data,0,1,1,src\race\FUN_0604D380.s:3502 [pool]
0x0605156E,DAT_0605156E,data,0,1,1,src\race\FUN_0604D380.s:3503 [pool]
0x06051592,DAT_06051592,data,0,1,1,src\race\FUN_0604D380.s:3504 [pool]
0x060515AC,DAT_060515AC,data,0,1,1,src\race\FUN_06042DC4.s:196 [pool]
0x060515F4,DAT_060515F4,data,0,1,1,src\race\FUN_06042DC4.s:732 [pool]
0x06051600,DAT_06051600,data,0,1,1,src\race\FUN_06042DC4.s:738 [pool]
