start,end,size,type,pinned_entry_tu,cdl_code_cs1,cdl_code_cs2,cdl_code_cs3,cdl_code_cs4,cdl_read_max,cdl_write_max,bp_attract,bp_threeseven,old_overlap,old_fn_count,old_sweep_dead_count,old_buckets,verdict,discrepancy
0x0602C044,0x0602C0A1,94,code,0,74,74,74,74,0,0,2,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602C0A2,0x0602C221,384,code,0,0,0,0,0,20,0,1,2,EXACT,1,0,,RETAIL_LIVE,
0x0602C222,0x0602C3B3,402,code,0,0,0,0,0,0,0,0,1,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602C3B4,0x0602C3BD,10,code,0,0,0,0,0,0,0,2,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602C3BE,0x0602C3DD,32,code,0,14,14,14,14,0,0,1,3,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602C3DE,0x0602C3F7,26,code,0,14,14,14,14,0,0,0,3,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602C3F8,0x0602C459,98,code,0,66,66,66,66,0,0,0,1,EXACT,1,0,,RETAIL_LIVE,
0x0602C45A,0x0602C599,320,code,0,0,0,0,0,44,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x0602C59A,0x0602C6C7,302,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,1,B1,RETAIL_DEAD,
0x0602C6C8,0x0602C6ED,38,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,1,B1,RETAIL_DEAD,
0x0602C6EE,0x0602C763,118,code,0,0,0,0,0,0,0,0,0,MULTI_MISMATCH,2,2,B1,RETAIL_DEAD,
0x0602C764,0x0602C7C3,96,code,0,40,40,40,40,0,0,0,2,EXACT,1,1,B5,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602C7C4,0x0602C853,144,code,0,0,0,0,0,0,0,0,1,EXACT,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602C854,0x0602C929,214,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x0602C92A,0x0602CA13,234,code,0,0,0,0,0,16,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x0602CA14,0x0602CB25,274,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x0602CB26,0x0602CC73,334,code,0,282,282,282,282,30,0,0,2,MERGED,2,2,B1+B5,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x0602CC74,0x0602CC83,16,code,0,10,10,10,10,4,0,0,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
