runtime_addr,name,size,category,n_alive_tracks,cs1_dino_canyon,cs2_seaside,cs3_track4,cs4_track5
0x0602DBDC,FUN_06005BDC,164,TRACK_AGNOSTIC,4,142,142,142,142
0x0602DC80,FUN_06005C80,194,TRACK_DEAD,0,0,0,0,0
0x0602DD42,FUN_06005D42,14,TRACK_AGNOSTIC,4,12,12,12,12
0x0602DD50,FUN_06005D50,16,TRACK_DEAD,0,0,0,0,0
0x0602DD60,FUN_06005D60,252,TRACK_DEAD,0,0,0,0,0
0x0602DE5C,FUN_06005E5C,132,TRACK_DEAD,0,0,0,0,0
0x0602DEE0,FUN_06005EE0,188,TRACK_AGNOSTIC,4,170,170,170,170
0x0602DF9C,FUN_06005F9C,160,TRACK_AGNOSTIC,4,88,88,88,88
0x0602E03C,FUN_0600603C,88,TRACK_DEAD,0,0,0,0,0
0x0602E094,FUN_06006094,108,TRACK_AGNOSTIC,4,50,50,50,50
0x0602E100,FUN_06006100,358,TRACK_PARTIAL,3,0,166,166,166
0x0602E266,FUN_06006266,268,TRACK_PARTIAL,1,0,140,0,0
0x0602E372,FUN_06006372,130,TRACK_PARTIAL,3,0,38,38,38
0x0602E3F4,FUN_060063F4,324,TRACK_DEAD,0,0,0,0,0
0x0602E538,FUN_06006538,12,TRACK_DEAD,0,0,0,0,0
0x0602E544,FUN_06006544,100,TRACK_DEAD,0,0,0,0,0
0x0602E5A8,FUN_060065A8,24,TRACK_AGNOSTIC,4,18,18,18,18
0x0602E5C0,FUN_060065C0,24,TRACK_DEAD,0,0,0,0,0
0x0602E5D8,FUN_060065D8,56,TRACK_DEAD,0,0,0,0,0
0x0602E610,FUN_06006610,352,TRACK_AGNOSTIC,4,246,246,246,246
0x0602E770,FUN_06006770,124,TRACK_DEAD,0,0,0,0,0
0x0602E7EC,FUN_060067EC,10,TRACK_DEAD,0,0,0,0,0
0x0602E7F6,FUN_060067F6,146,TRACK_DEAD,0,0,0,0,0
0x0602E888,FUN_06006888,22,TRACK_DEAD,0,0,0,0,0
0x0602E89E,FUN_0600689E,18,TRACK_DEAD,0,0,0,0,0
0x0602E8B0,FUN_060068B0,8,TRACK_PARTIAL,1,0,0,0,6
0x0602E8B8,FUN_060068B8,208,TRACK_PARTIAL,1,0,0,0,32
0x0602E988,FUN_06006988,228,TRACK_AGNOSTIC,4,56,56,56,214
0x0602EA6C,FUN_06006A6C,118,TRACK_DEAD,0,0,0,0,0
0x0602EAE2,FUN_06006AE2,414,TRACK_DEAD,0,0,0,0,0
0x0602EC80,FUN_06006C80,42,TRACK_DEAD,0,0,0,0,0
0x0602ECAA,FUN_06006CAA,180,TRACK_PARTIAL,1,0,0,0,54
0x0602ED5E,FUN_06006D5E,38,TRACK_DEAD,0,0,0,0,0
0x0602ED84,FUN_06006D84,212,TRACK_DEAD,0,0,0,0,0
0x0602EE58,FUN_06006E58,12,TRACK_DEAD,0,0,0,0,0
0x0602EE64,FUN_06006E64,64,TRACK_DEAD,0,0,0,0,0
0x0602EEA4,FUN_06006EA4,44,TRACK_DEAD,0,0,0,0,0
0x0602EED0,FUN_06006ED0,10,TRACK_DEAD,0,0,0,0,0
0x0602EEDA,FUN_06006EDA,130,TRACK_DEAD,0,0,0,0,0
0x0602EF5C,FUN_06006F5C,136,TRACK_DEAD,0,0,0,0,0
0x0602EFE4,FUN_06006FE4,142,TRACK_PARTIAL,3,64,64,0,64
0x0602F072,FUN_06007072,162,TRACK_AGNOSTIC,4,70,70,70,70
0x0602F114,FUN_06007114,100,TRACK_DEAD,0,0,0,0,0
0x0602F178,FUN_06007178,148,TRACK_AGNOSTIC,4,110,110,110,110
0x0602F20C,FUN_0600720C,104,TRACK_AGNOSTIC,4,98,98,98,98
0x0602F274,FUN_06007274,68,TRACK_AGNOSTIC,4,62,62,62,62
0x0602F2B8,FUN_060072B8,82,TRACK_DEAD,0,0,0,0,0
0x0602F30A,FUN_0600730A,24,TRACK_DEAD,0,0,0,0,0
0x0602F322,FUN_06007322,16,TRACK_DEAD,0,0,0,0,0
0x0602F332,FUN_06007332,190,TRACK_DEAD,0,0,0,0,0
0x0602F3F0,FUN_060073F0,182,TRACK_DEAD,0,0,0,0,0
0x0602F4A6,FUN_060074A6,90,TRACK_DEAD,0,0,0,0,0
0x0602F500,FUN_06007500,28,TRACK_DEAD,0,0,0,0,0
0x0602F51C,FUN_0600751C,150,TRACK_DEAD,0,0,0,0,0
0x0602F5B2,FUN_060075B2,170,TRACK_DEAD,0,0,0,0,0
0x0602F65C,FUN_0600765C,356,TRACK_DEAD,0,0,0,0,0
0x0602F7C0,FUN_060077C0,138,TRACK_DEAD,0,0,0,0,0
0x0602F84A,FUN_0600784A,158,TRACK_DEAD,0,0,0,0,0
0x0602F8E8,FUN_060078E8,24,TRACK_AGNOSTIC,4,22,22,22,22
0x0602F900,FUN_06007900,64,TRACK_AGNOSTIC,4,16,16,16,16
0x0602F940,FUN_06007940,26,TRACK_DEAD,0,0,0,0,0
0x0602F95A,FUN_0600795A,142,TRACK_DEAD,0,0,0,0,0
0x0602F9E8,FUN_060079E8,32,TRACK_DEAD,0,0,0,0,0
0x0602FA08,FUN_06007A08,108,TRACK_DEAD,0,0,0,0,0
0x0602FA74,FUN_06007A74,20,TRACK_AGNOSTIC,4,16,16,16,16
0x0602FA88,FUN_06007A88,16,TRACK_DEAD,0,0,0,0,0
0x0602FA98,FUN_06007A98,84,TRACK_DEAD,0,0,0,0,0
0x0602FAEC,FUN_06007AEC,8,TRACK_DEAD,0,0,0,0,0
0x0602FAF4,FUN_06007AF4,4,TRACK_DEAD,0,0,0,0,0
0x0602FAF8,FUN_06007AF8,156,TRACK_DEAD,0,0,0,0,0
0x0602FB94,FUN_06007B94,12,TRACK_DEAD,0,0,0,0,0
0x0602FBA0,FUN_06007BA0,240,TRACK_DEAD,0,0,0,0,0
0x0602FC90,FUN_06007C90,68,TRACK_DEAD,0,0,0,0,0
0x0602FCD4,FUN_06007CD4,42,TRACK_DEAD,0,0,0,0,0
0x0602FCFE,FUN_06007CFE,58,TRACK_AGNOSTIC,4,50,50,50,50
0x0602FD38,FUN_06007D38,12,TRACK_DEAD,0,0,0,0,0
0x0602FD44,FUN_06007D44,80,TRACK_DEAD,0,0,0,0,0
0x0602FD94,FUN_06007D94,346,TRACK_DEAD,0,0,0,0,0
0x0602FEEE,FUN_06007EEE,210,TRACK_DEAD,0,0,0,0,0
0x0602FFC0,FUN_06007FC0,36,TRACK_DEAD,0,0,0,0,0
0x0602FFE4,FUN_06007FE4,10,TRACK_DEAD,0,0,0,0,0
0x0602FFEE,FUN_06007FEE,162,TRACK_PARTIAL,3,24,24,0,24
0x06030090,FUN_06008090,26,TRACK_AGNOSTIC,4,24,24,24,24
0x060300AA,FUN_060080AA,920,TRACK_AGNOSTIC,4,180,180,180,704
0x06030442,FUN_06008442,222,TRACK_DEAD,0,0,0,0,0
0x06030520,FUN_06008520,522,TRACK_DEAD,0,0,0,0,0
0x0603072A,FUN_0600872A,118,TRACK_DEAD,0,0,0,0,0
0x060307A0,FUN_060087A0,132,TRACK_DEAD,0,0,0,0,0
0x06030824,FUN_06008824,156,TRACK_DEAD,0,0,0,0,0
0x060308C0,FUN_060088C0,348,TRACK_DEAD,0,0,0,0,0
0x06030A1C,FUN_06008A1C,44,TRACK_DEAD,0,0,0,0,0
0x06030A48,FUN_06008A48,20,TRACK_DEAD,0,0,0,0,0
0x06030A5C,FUN_06008A5C,36,TRACK_DEAD,0,0,0,0,0
0x06030A80,FUN_06008A80,14,TRACK_DEAD,0,0,0,0,0
0x06030A8E,FUN_06008A8E,74,TRACK_DEAD,0,0,0,0,0
0x06030AD8,FUN_06008AD8,34,TRACK_DEAD,0,0,0,0,0
0x06030AFA,FUN_06008AFA,22,TRACK_AGNOSTIC,4,20,20,20,20
0x06030B10,FUN_06008B10,108,TRACK_AGNOSTIC,4,94,94,94,96
0x06030B7C,FUN_06008B7C,40,TRACK_DEAD,0,0,0,0,0
0x06030BA4,FUN_06008BA4,20,TRACK_DEAD,0,0,0,0,0
0x06030BB8,FUN_06008BB8,108,TRACK_DEAD,0,0,0,0,0
0x06030C24,FUN_06008C24,54,TRACK_DEAD,0,0,0,0,0
0x06030C5A,FUN_06008C5A,34,TRACK_DEAD,0,0,0,0,0
0x06030C7C,FUN_06008C7C,34,TRACK_DEAD,0,0,0,0,0
0x06030C9E,FUN_06008C9E,12,TRACK_PARTIAL,3,0,10,10,10
0x06030CAA,FUN_06008CAA,118,TRACK_AGNOSTIC,4,26,74,74,74
0x06030D20,FUN_06008D20,144,TRACK_AGNOSTIC,4,124,124,90,124
0x06030DB0,FUN_06008DB0,62,TRACK_DEAD,0,0,0,0,0
0x06030DEE,FUN_06008DEE,68,TRACK_DEAD,0,0,0,0,0
0x06030E32,FUN_06008E32,22,TRACK_DEAD,0,0,0,0,0
0x06030E48,FUN_06008E48,128,TRACK_DEAD,0,0,0,0,0
0x06030EC8,FUN_06008EC8,140,TRACK_DEAD,0,0,0,0,0
0x06030F54,FUN_06008F54,180,TRACK_DEAD,0,0,0,0,0
0x06031008,FUN_06009008,24,TRACK_PARTIAL,3,22,22,0,22
0x06031020,FUN_06009020,704,TRACK_PARTIAL,3,254,258,0,266
0x060312E0,FUN_060092E0,284,TRACK_DEAD,0,0,0,0,0
0x060313FC,FUN_060093FC,590,TRACK_AGNOSTIC,4,168,184,116,168
0x0603164A,FUN_0600964A,238,TRACK_DEAD,0,0,0,0,0
0x06031738,FUN_06009738,116,TRACK_DEAD,0,0,0,0,0
0x060317AC,FUN_060097AC,156,TRACK_DEAD,0,0,0,0,0
0x06031848,FUN_06009848,448,TRACK_DEAD,0,0,0,0,0
0x06031A08,FUN_06009A08,260,TRACK_DEAD,0,0,0,0,0
0x06031B0C,FUN_06009B0C,120,TRACK_DEAD,0,0,0,0,0
0x06031B84,FUN_06009B84,8,TRACK_DEAD,0,0,0,0,0
0x06031B8C,FUN_06009B8C,86,TRACK_DEAD,0,0,0,0,0
0x06031BE2,FUN_06009BE2,224,TRACK_DEAD,0,0,0,0,0
0x06031CC2,FUN_06009CC2,312,TRACK_DEAD,0,0,0,0,0
0x06031DFA,FUN_06009DFA,306,TRACK_DEAD,0,0,0,0,0
0x06031F2C,FUN_06009F2C,228,TRACK_DEAD,0,0,0,0,0
0x06032010,FUN_0600A010,140,TRACK_DEAD,0,0,0,0,0
0x0603209C,FUN_0600A09C,516,TRACK_DEAD,0,0,0,0,0
0x060322A0,FUN_0600A2A0,172,TRACK_DEAD,0,0,0,0,0
0x0603234C,FUN_0600A34C,412,TRACK_AGNOSTIC,4,310,310,310,310
0x060324E8,FUN_0600A4E8,68,TRACK_DEAD,0,0,0,0,0
0x0603252C,FUN_0600A52C,328,TRACK_DEAD,0,0,0,0,0
0x06032674,FUN_0600A674,584,TRACK_DEAD,0,0,0,0,0
0x060328BC,FUN_0600A8BC,92,TRACK_DEAD,0,0,0,0,0
0x06032918,FUN_0600A918,408,TRACK_DEAD,0,0,0,0,0
0x06032AB0,FUN_0600AAB0,252,TRACK_DEAD,0,0,0,0,0
0x06032BAC,FUN_0600ABAC,540,TRACK_DEAD,0,0,0,0,0
0x06032DC8,FUN_0600ADC8,20,TRACK_DEAD,0,0,0,0,0
0x06032DDC,FUN_0600ADDC,56,TRACK_DEAD,0,0,0,0,0
0x06032E14,FUN_0600AE14,48,TRACK_DEAD,0,0,0,0,0
0x06032E44,FUN_0600AE44,620,TRACK_DEAD,0,0,0,0,0
0x060330B0,FUN_0600B0B0,96,TRACK_DEAD,0,0,0,0,0
0x06033110,FUN_0600B110,404,TRACK_DEAD,0,0,0,0,0
0x060332A4,FUN_0600B2A4,200,TRACK_DEAD,0,0,0,0,0
0x0603336C,FUN_0600B36C,226,TRACK_DEAD,0,0,0,0,0
0x0603344E,FUN_0600B44E,24,TRACK_DEAD,0,0,0,0,0
0x06033466,FUN_0600B466,214,TRACK_DEAD,0,0,0,0,0
0x0603353C,FUN_0600B53C,168,TRACK_DEAD,0,0,0,0,0
0x060335E4,FUN_0600B5E4,228,TRACK_DEAD,0,0,0,0,0
0x060336C8,FUN_0600B6C8,80,TRACK_DEAD,0,0,0,0,0
0x06033718,FUN_0600B718,280,TRACK_DEAD,0,0,0,0,0
0x06033830,FUN_0600B830,320,TRACK_DEAD,0,0,0,0,0
0x06033970,FUN_0600B970,264,TRACK_DEAD,0,0,0,0,0
0x06033A78,FUN_0600BA78,52,TRACK_DEAD,0,0,0,0,0
0x06033AAC,FUN_0600BAAC,78,TRACK_DEAD,0,0,0,0,0
0x06033AFA,FUN_0600BAFA,52,TRACK_DEAD,0,0,0,0,0
0x06033B2E,FUN_0600BB2E,54,TRACK_DEAD,0,0,0,0,0
0x06033B64,FUN_0600BB64,116,TRACK_DEAD,0,0,0,0,0
0x06033BD8,FUN_0600BBD8,230,TRACK_DEAD,0,0,0,0,0
0x06033CBE,FUN_0600BCBE,266,TRACK_DEAD,0,0,0,0,0
0x06033DC8,FUN_0600BDC8,1720,TRACK_DEAD,0,0,0,0,0
0x06034480,FUN_0600C480,456,TRACK_DEAD,0,0,0,0,0
0x06034648,FUN_0600C648,160,TRACK_DEAD,0,0,0,0,0
0x060346E8,FUN_0600C6E8,80,TRACK_DEAD,0,0,0,0,0
0x06034738,FUN_0600C738,252,TRACK_DEAD,0,0,0,0,0
0x06034834,FUN_0600C834,122,TRACK_DEAD,0,0,0,0,0
0x060348AE,FUN_0600C8AE,86,TRACK_DEAD,0,0,0,0,0
0x06034904,FUN_0600C904,196,TRACK_DEAD,0,0,0,0,0
0x060349C8,FUN_0600C9C8,216,TRACK_DEAD,0,0,0,0,0
0x06034AA0,FUN_0600CAA0,258,TRACK_DEAD,0,0,0,0,0
0x06034BA2,FUN_0600CBA2,58,TRACK_DEAD,0,0,0,0,0
0x06034BDC,FUN_0600CBDC,4,TRACK_DEAD,0,0,0,0,0
0x06034BE0,FUN_0600CBE0,144,TRACK_DEAD,0,0,0,0,0
0x06034C70,FUN_0600CC70,124,TRACK_DEAD,0,0,0,0,0
0x06034CEC,FUN_0600CCEC,70,TRACK_DEAD,0,0,0,0,0
0x06034D32,FUN_0600CD32,94,TRACK_DEAD,0,0,0,0,0
0x06034D90,FUN_0600CD90,428,TRACK_DEAD,0,0,0,0,0
0x06034F3C,FUN_0600CF3C,24,TRACK_DEAD,0,0,0,0,0
0x06034F54,FUN_0600CF54,632,TRACK_DEAD,0,0,0,0,0
0x060351CC,FUN_0600D1CC,302,TRACK_AGNOSTIC,4,104,104,104,104
0x060352FA,FUN_0600D2FA,310,TRACK_AGNOSTIC,4,20,20,20,20
0x06035430,FUN_0600D430,112,TRACK_DEAD,0,0,0,0,0
0x060354A0,FUN_0600D4A0,388,TRACK_AGNOSTIC,4,292,294,292,292
0x06035624,FUN_0600D624,212,TRACK_AGNOSTIC,4,166,166,160,170
0x060356F8,FUN_0600D6F8,80,TRACK_AGNOSTIC,4,32,32,32,32
0x06035748,FUN_0600D748,8,TRACK_AGNOSTIC,4,6,6,6,6
0x06035750,FUN_0600D750,436,TRACK_AGNOSTIC,4,212,308,312,292
0x06035904,FUN_0600D904,522,TRACK_AGNOSTIC,4,438,462,462,462
0x06035B0E,FUN_0600DB0E,34,TRACK_AGNOSTIC,4,32,32,22,32
0x06035B30,FUN_0600DB30,296,TRACK_AGNOSTIC,4,194,194,194,194
0x06035C58,FUN_0600DC58,64,TRACK_AGNOSTIC,4,46,46,46,46
0x06035C98,FUN_0600DC98,592,TRACK_AGNOSTIC,4,446,450,450,450
0x06035EE8,FUN_0600DEE8,96,TRACK_AGNOSTIC,4,82,82,78,82
0x06035F48,FUN_0600DF48,980,TRACK_AGNOSTIC,4,684,686,716,716
0x0603631C,FUN_0600E31C,1108,TRACK_AGNOSTIC,4,98,98,98,98
0x06036770,FUN_0600E770,32,TRACK_DEAD,0,0,0,0,0
0x06036790,FUN_0600E790,10,TRACK_AGNOSTIC,4,8,8,8,8
0x0603679A,FUN_0600E79A,110,TRACK_AGNOSTIC,4,86,86,86,86
0x06036808,FUN_0600E808,204,TRACK_PARTIAL,3,0,146,144,144
0x060368D4,FUN_0600E8D4,64,TRACK_AGNOSTIC,4,46,46,46,46
0x06036914,FUN_0600E914,52,TRACK_AGNOSTIC,4,50,50,50,50
0x06036948,FUN_0600E948,72,TRACK_AGNOSTIC,4,68,68,68,68
0x06036990,FUN_0600E990,224,TRACK_AGNOSTIC,4,206,206,206,206
0x06036A70,FUN_0600EA70,56,TRACK_AGNOSTIC,4,40,40,40,40
0x06036AA8,FUN_0600EAA8,14,TRACK_AGNOSTIC,4,12,12,12,12
0x06036AB6,FUN_0600EAB6,170,TRACK_AGNOSTIC,4,132,132,132,132
0x06036B60,FUN_0600EB60,14,TRACK_DEAD,0,0,0,0,0
0x06036B6E,FUN_0600EB6E,74,TRACK_DEAD,0,0,0,0,0
0x06036BB8,FUN_0600EBB8,14,TRACK_AGNOSTIC,4,12,12,12,12
0x06036BC6,FUN_0600EBC6,306,TRACK_AGNOSTIC,4,256,256,256,256
0x06036CF8,FUN_0600ECF8,90,TRACK_AGNOSTIC,4,56,56,56,56
0x06036D52,FUN_0600ED52,42,TRACK_AGNOSTIC,4,32,32,32,32
0x06036D7C,FUN_0600ED7C,42,TRACK_DEAD,0,0,0,0,0
0x06036DA6,FUN_0600EDA6,198,TRACK_DEAD,0,0,0,0,0
0x06036E6C,FUN_0600EE6C,36,TRACK_PARTIAL,3,28,28,0,28
0x06036E90,FUN_0600EE90,36,TRACK_DEAD,0,0,0,0,0
0x06036EB4,FUN_0600EEB4,540,TRACK_AGNOSTIC,4,228,236,228,228
0x060370D0,FUN_0600F0D0,150,TRACK_AGNOSTIC,4,82,82,82,82
0x06037166,FUN_0600F166,810,TRACK_AGNOSTIC,4,104,104,94,104
0x06037490,FUN_0600F490,456,TRACK_AGNOSTIC,4,214,214,2,214
0x06037658,FUN_0600F658,4,TRACK_AGNOSTIC,4,4,4,4,4
0x0603765C,FUN_0600F65C,1340,TRACK_AGNOSTIC,4,516,736,680,768
0x06037B98,FUN_0600FB98,96,TRACK_AGNOSTIC,4,82,82,82,82
0x06037BF8,FUN_0600FBF8,560,TRACK_AGNOSTIC,4,30,40,40,40
0x06037E28,FUN_0600FE28,1692,TRACK_AGNOSTIC,4,534,534,370,534
0x060384C4,FUN_060104C4,266,TRACK_AGNOSTIC,4,232,232,232,232
0x060385CE,FUN_060105CE,266,TRACK_AGNOSTIC,4,128,128,174,128
0x060386D8,FUN_060106D8,938,TRACK_AGNOSTIC,4,768,768,748,774
0x06038A82,FUN_06010A82,2,TRACK_DEAD,0,0,0,0,0
0x06038A84,FUN_06010A84,320,TRACK_AGNOSTIC,4,146,146,146,146
0x06038BC4,FUN_06010BC4,8,TRACK_DEAD,0,0,0,0,0
0x06038BCC,FUN_06010BCC,152,TRACK_DEAD,0,0,0,0,0
0x06038C64,FUN_06010C64,372,TRACK_AGNOSTIC,4,242,242,220,242
0x06038DD8,FUN_06010DD8,20,TRACK_AGNOSTIC,4,18,18,18,18
0x06038DEC,FUN_06010DEC,552,TRACK_AGNOSTIC,4,202,232,174,244
0x06039014,FUN_06011014,6,TRACK_AGNOSTIC,4,4,4,4,4
0x0603901A,FUN_0601101A,246,TRACK_AGNOSTIC,4,208,204,204,204
0x06039110,FUN_06011110,242,TRACK_AGNOSTIC,4,90,90,90,90
0x06039202,FUN_06011202,2,TRACK_DEAD,0,0,0,0,0
0x06039204,FUN_06011204,390,TRACK_DEAD,0,0,0,0,0
0x0603938A,FUN_0601138A,2,TRACK_DEAD,0,0,0,0,0
0x0603938C,FUN_0601138C,284,TRACK_AGNOSTIC,4,68,68,68,68
0x060394A8,FUN_060114A8,708,TRACK_DEAD,0,0,0,0,0
0x0603976C,FUN_0601176C,824,TRACK_AGNOSTIC,4,200,214,92,200
0x06039AA4,FUN_06011AA4,236,TRACK_AGNOSTIC,4,48,48,48,48
0x06039B90,FUN_06011B90,84,TRACK_AGNOSTIC,4,34,34,34,34
0x06039BE4,FUN_06011BE4,488,TRACK_AGNOSTIC,4,256,376,376,376
0x06039DCC,FUN_06011DCC,268,TRACK_AGNOSTIC,4,80,80,80,80
0x06039ED8,FUN_06011ED8,716,TRACK_AGNOSTIC,4,156,156,156,156
0x0603A1A4,FUN_060121A4,932,TRACK_DEAD,0,0,0,0,0
0x0603A548,FUN_06012548,8,TRACK_DEAD,0,0,0,0,0
0x0603A550,FUN_06012550,256,TRACK_AGNOSTIC,4,56,56,56,56
0x0603A650,FUN_06012650,80,TRACK_DEAD,0,0,0,0,0
0x0603A6A0,FUN_060126A0,28,TRACK_DEAD,0,0,0,0,0
0x0603A6BC,FUN_060126BC,212,TRACK_DEAD,0,0,0,0,0
0x0603A790,FUN_06012790,48,TRACK_DEAD,0,0,0,0,0
0x0603A7C0,FUN_060127C0,852,TRACK_DEAD,0,0,0,0,0
0x0603AB14,FUN_06012B14,82,TRACK_DEAD,0,0,0,0,0
0x0603AB66,FUN_06012B66,12,TRACK_DEAD,0,0,0,0,0
0x0603AB72,FUN_06012B72,922,TRACK_DEAD,0,0,0,0,0
0x0603AF0C,FUN_06012F0C,44,TRACK_DEAD,0,0,0,0,0
0x0603AF38,FUN_06012F38,796,TRACK_DEAD,0,0,0,0,0
0x0603B254,FUN_06013254,48,TRACK_DEAD,0,0,0,0,0
0x0603B284,FUN_06013284,532,TRACK_DEAD,0,0,0,0,0
