addr,node,size,type,pinned_entry_tu,inbound_refs_pristine,zero_inbound,reach_pristine,reach_transplant,falls_into_next,entered_by_fallthrough,retail_verdict,leg_verdict,selfcheck
0x0602FEEE,src/race/asm/FUN_0602FEEE.c,210,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602FFC0,src/race/asm/FUN_0602FFC0.c,140,code,0,5,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0603004C,src/race/asm/FUN_0603004C.c,68,code,0,9,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030090,src/race/asm/FUN_06030090.c,938,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0603043A,src/race/asm/FUN_0603043A.c,78,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030488,src/race/asm/FUN_06030488.c,8,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030490,src/race/asm/FUN_06030490.c,144,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030520,src/race/asm/FUN_06030520.c,522,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0603072A,src/race/asm/FUN_0603072A.c,24,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030742,src/race/asm/FUN_06030742.c,94,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x060307A0,src/race/asm/FUN_060307A0.c,132,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030824,src/race/asm/FUN_06030824.c,24,code,0,6,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0603083C,src/race/asm/FUN_0603083C.c,132,code,0,5,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x060308C0,src/race/asm/FUN_060308C0.c,348,code,0,6,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030A1C,src/race/asm/FUN_06030A1C.c,44,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030A48,src/race/asm/FUN_06030A48.c,56,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030A80,src/race/asm/FUN_06030A80.c,88,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030AD8,src/race/asm/FUN_06030AD8.c,34,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030AFA,src/race/asm/FUN_06030AFA.c,130,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030B7C,src/race/asm/FUN_06030B7C.c,40,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030BA4,src/race/asm/FUN_06030BA4.c,128,code,0,7,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030C24,src/race/asm/FUN_06030C24.c,54,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x06030C5A,src/race/asm/FUN_06030C5A.c,34,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x06030C7C,src/race/asm/FUN_06030C7C.c,34,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030C9E,src/race/asm/FUN_06030C9E.c,68,code,0,10,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030CE2,src/race/asm/FUN_06030CE2.c,4,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030CE6,src/race/asm/FUN_06030CE6.c,58,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030D20,src/race/asm/FUN_06030D20.c,130,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030DA2,src/race/asm/FUN_06030DA2.c,8,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x06030DAA,src/race/asm/FUN_06030DAA.c,6,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
