# Functions where NO probe ever fired during:
#   - boot through title (BIOS skipped)
#   - menu navigation through course-select-confirm
#   - rolling start (~1267 frames)
#   - poke-driven retail-lap playback (843 frames)
#
# Build: decomp transplant (decomp/build/transplant/race/race.bin)
# Sweep date: 2026-04-28
# Format: <address>  <symbol>  <probes_total>
#
0x06036A0E  FUN_06036A0E  3
0x06036BB8  FUN_06036BB8  1
0x06036BC6  FUN_06036BC6  3
0x06036CF8  FUN_06036CF8  2
0x06036D52  FUN_06036D52  2
0x06036D7C  FUN_06036D7C  2
0x06036DA6  FUN_06036DA6  1
0x06036E14  FUN_06036E14  2
0x06036E6C  FUN_06036E6C  2
0x06036E90  FUN_06036E90  2
0x06036EB4  FUN_06036EB4  7
0x06036FEA  FUN_06036FEA  5
0x060370D0  FUN_060370D0  4
0x06037166  FUN_06037166  9
0x060371FC  FUN_060371FC  9
0x06037490  FUN_06037490  7
0x060375F0  FUN_060375F0  3
0x06037658  FUN_06037658  1
0x0603765C  FUN_0603765C  10
0x060377CC  FUN_060377CC  6
0x060379F6  FUN_060379F6  2
0x06037B98  FUN_06037B98  2
0x06037DFC  FUN_06037DFC  1
0x060386D8  FUN_060386D8  3
0x06038A82  FUN_06038A82  1
0x06038A84  FUN_06038A84  2
0x06038BC4  FUN_06038BC4  1
0x06038BCC  FUN_06038BCC  2
0x06038DD8  FUN_06038DD8  1
0x06038DEC  FUN_06038DEC  2
0x06039202  FUN_06039202  1
0x06039204  FUN_06039204  2
0x0603938A  FUN_0603938A  1
0x060394A8  FUN_060394A8  2
0x06039AA4  FUN_06039AA4  3
0x06039B90  FUN_06039B90  3
0x06039ED8  FUN_06039ED8  2
0x0603A1A4  FUN_0603A1A4  5
0x0603A548  FUN_0603A548  1
0x0603A6A0  FUN_0603A6A0  2
0x0603A6BC  FUN_0603A6BC  4
0x0603A790  FUN_0603A790  2
0x0603A7C0  FUN_0603A7C0  2
0x0603AAFE  FUN_0603AAFE  2
0x0603AB14  FUN_0603AB14  2
0x0603AB66  FUN_0603AB66  1
0x0603AB72  FUN_0603AB72  4
0x0603AF0C  FUN_0603AF0C  1
0x0603AF38  FUN_0603AF38  4
0x0603B254  FUN_0603B254  2
0x0603B284  FUN_0603B284  2
0x0603B484  FUN_0603B484  2
0x0603B498  FUN_0603B498  1
0x0603B4A4  FUN_0603B4A4  3
0x0603B6FC  FUN_0603B6FC  2
0x0603B940  FUN_0603B940  2
0x0603B97A  FUN_0603B97A  7
0x0603BAF4  FUN_0603BAF4  2
0x0603BBCC  FUN_0603BBCC  2
0x0603BC78  FUN_0603BC78  1
0x0603BEF4  FUN_0603BEF4  3
0x0603BF0C  FUN_0603BF0C  3
0x0603BF20  FUN_0603BF20  4
0x0603BF5A  FUN_0603BF5A  2
0x0603BFA0  FUN_0603BFA0  1
0x0603BFA8  FUN_0603BFA8  3
0x0603BFE8  FUN_0603BFE8  2
0x0603BFFE  FUN_0603BFFE  2
0x0603C094  FUN_0603C094  3
0x0603C1B0  FUN_0603C1B0  3
0x0603C274  FUN_0603C274  2
0x0603C2BC  FUN_0603C2BC  2
0x0603C304  FUN_0603C304  2
0x0603C338  FUN_0603C338  1
0x0603C344  FUN_0603C344  2
0x0603C46C  FUN_0603C46C  1
0x0603C478  FUN_0603C478  2
0x0603C6A0  FUN_0603C6A0  2
0x0603C796  FUN_0603C796  1
0x0603C7A4  FUN_0603C7A4  3
0x0603C96C  FUN_0603C96C  1
0x0603C970  FUN_0603C970  2
0x0603C994  FUN_0603C994  3
0x0603CC68  FUN_0603CC68  2
0x0603CD32  FUN_0603CD32  2
0x0603D6E4  FUN_0603D6E4  1
0x0603D704  FUN_0603D704  2
0x0603D980  FUN_0603D980  1
0x0603DB9C  FUN_0603DB9C  2
0x0603DC9C  FUN_0603DC9C  1
0x0603DCA2  FUN_0603DCA2  2
0x0603DD18  FUN_0603DD18  2
0x0603DDAE  FUN_0603DDAE  3
0x0603DE68  FUN_0603DE68  2
0x0603DEBC  FUN_0603DEBC  4
0x0603DF28  FUN_0603DF28  2
0x0603DF84  FUN_0603DF84  3
0x0603E0BA  FUN_0603E0BA  2
0x0603E14C  FUN_0603E14C  3
0x0603E340  FUN_0603E340  3
0x0603E350  FUN_0603E350  5
0x0603E3A4  FUN_0603E3A4  2
0x0603E3E8  FUN_0603E3E8  3
0x0603E45A  FUN_0603E45A  2
0x0603E472  FUN_0603E472  2
0x0603E60C  FUN_0603E60C  2
0x0603E774  FUN_0603E774  1
0x0603E788  FUN_0603E788  2
0x0603E7B0  FUN_0603E7B0  2
0x0603E914  FUN_0603E914  1
0x0603E928  FUN_0603E928  2
0x0603E952  FUN_0603E952  2
0x0603EA80  FUN_0603EA80  2
0x0603EAAA  FUN_0603EAAA  2
0x0603EBE2  FUN_0603EBE2  1
0x0603ED00  FUN_0603ED00  3
0x0603ED24  FUN_0603ED24  2
0x0603EDA6  FUN_0603EDA6  2
0x0603F03C  FUN_0603F03C  2
0x0603F054  FUN_0603F054  2
0x0603F070  FUN_0603F070  1
0x0603F0B4  FUN_0603F0B4  2
0x0603F0C2  FUN_0603F0C2  1
0x0603F0D0  FUN_0603F0D0  2
0x0603F4B0  FUN_0603F4B0  3
0x0603F4C0  FUN_0603F4C0  2
0x0603F504  FUN_0603F504  1
0x0603F506  FUN_0603F506  1
0x0603F508  FUN_0603F508  1
0x0603F512  FUN_0603F512  2
0x0603F58C  FUN_0603F58C  3
0x0603F5FE  FUN_0603F5FE  2
0x0603F9E8  FUN_0603F9E8  1
0x0603F9FC  FUN_0603F9FC  2
0x0603FA1E  FUN_0603FA1E  1
0x0603FA32  FUN_0603FA32  2
0x0603FA54  FUN_0603FA54  1
0x0603FA5C  FUN_0603FA5C  2
0x0603FAA8  FUN_0603FAA8  14
