frame,+0x00,+0x04,+0x08,+0x0C,+0x10,+0x14,+0x18,+0x1C,+0x20,+0x24,+0x28,+0x2C,+0x30,+0x34,+0x38,+0x3C,+0x40,+0x44,+0x48,+0x4C,+0x50,+0x54,+0x58,+0x5C,+0x60,+0x64,+0x68,+0x6C,+0x70,+0x74,+0x78,+0x7C,+0x80,+0x84,+0x88,+0x8C,+0x90,+0x94,+0x98,+0x9C,+0xA0,+0xA4,+0xA8,+0xAC,+0xB0,+0xB4,+0xB8,+0xBC,+0xC0,+0xC4,+0xC8,+0xCC,+0xD0,+0xD4,+0xD8,+0xDC,+0xE0,+0xE4,+0xE8,+0xEC,+0xF0,+0xF4,+0xF8,+0xFC
10,0x00A47297,0x00000000,0x0091FA2A,0x00004065,0x00000000,0x00001F40,0x1F400000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x0000107D,0x00000000,0x000000C9,0x00004065,0x00004065,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
11,0x00A47297,0x00000000,0x0091FA2A,0x00004065,0x00000000,0x00001F40,0x1F400000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x0000107D,0x00000000,0x000000C9,0x00004065,0x00004065,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
12,0x00A296D6,0x00000000,0x0091F313,0x0000407A,0x00000000,0x00005180,0x51800000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x00001146,0x00000000,0x000000C9,0x0000407A,0x0000407A,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
13,0x00A296D6,0x00000000,0x0091F313,0x0000407A,0x00000000,0x00005180,0x51800000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x00001146,0x00000000,0x000000C9,0x0000407A,0x0000407A,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
14,0x00A0BB15,0x00000000,0x0091EC50,0x0000408E,0x00000000,0x000083C0,0x83C00000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x0000120F,0x00000000,0x000000C9,0x0000408E,0x0000408E,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
15,0x00A0BB15,0x00000000,0x0091EC50,0x0000408E,0x00000000,0x000083C0,0x83C00000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x0000120F,0x00000000,0x000000C9,0x0000408E,0x0000408E,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
16,0x009EDF54,0x00000000,0x0091E580,0x000040A2,0x00000000,0x0000B600,0xB6000000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x000012D8,0x00000000,0x000000C9,0x000040A2,0x000040A2,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
17,0x009EDF54,0x00000000,0x0091E580,0x000040A2,0x00000000,0x0000B600,0xB6000000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x000012D8,0x00000000,0x000000C9,0x000040A2,0x000040A2,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
18,0x009D0393,0x00000000,0x0091DE84,0x000040B7,0x00000000,0x0000E840,0xE8400000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x000013A1,0x00000000,0x000000C9,0x000040B7,0x000040B7,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
19,0x009D0393,0x00000000,0x0091DE84,0x000040B7,0x00000000,0x0000E840,0xE8400000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x000013A1,0x00000000,0x000000C9,0x000040B7,0x000040B7,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
20,0x009B27D3,0x00000000,0x0091D736,0x000040CB,0x00000000,0x00001A80,0x1A800000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x0000146A,0x00000000,0x000000C9,0x000040CB,0x000040CB,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
21,0x009B27D3,0x00000000,0x0091D736,0x000040CB,0x00000000,0x00001A80,0x1A800000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x0000146A,0x00000000,0x000000C9,0x000040CB,0x000040CB,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
22,0x00994C13,0x00000000,0x0091CF9C,0x000040E0,0x00000000,0x00004CC0,0x4CC00000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x00001533,0x00000000,0x000000C9,0x000040E0,0x000040E0,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
23,0x00994C13,0x00000000,0x0091CF9C,0x000040E0,0x00000000,0x00004CC0,0x4CC00000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x00001533,0x00000000,0x000000C9,0x000040E0,0x000040E0,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
24,0x00977055,0x00000000,0x0091C7C2,0x000040B7,0x00000000,0x00007F00,0x7F000000,0x00000000,0x00000000,0x0001DBCE,0x00000000,0x000015FC,0x00000000,0x000000C9,0x000040B7,0x000040B7,0x00000000,0x00000000,0xFFFFB4E8,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEEF4B94,0x00000000,0x00000000,0x00001B58,0x00001B58,0x00000000,0x005C17B0,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x09000000,0x08000000,0x00000000
