retail_name,transplant_addr,real_sigs,phantom_sigs,verdict
FUN_0602ED84,0x0602ED84,0,0,SILENT
FUN_0602EDB4,0x0602EDB4,0,0,SILENT
FUN_0602EDDA,0x0602EDDA,0,0,SILENT
FUN_0602EE64,0x0602EE64,0,0,SILENT
FUN_0602EEA4,0x0602EEA4,0,0,SILENT
FUN_0602EED0,0x0602EED0,0,0,SILENT
FUN_0602EF10,0x0602EF10,0,0,SILENT
FUN_0602EF36,0x0602EF36,0,0,SILENT
FUN_0602EF5C,0x0602EF5C,0,0,SILENT
FUN_0602EFE4,0x0602EFE4,0,0,SILENT
FUN_0602F036,0x0602F036,0,0,SILENT
FUN_0602F054,0x0602F054,0,0,SILENT
FUN_0602F072,0x0602F072,0,0,SILENT
FUN_0602F114,0x0602F114,0,0,SILENT
FUN_0602F168,0x0602F168,0,0,SILENT
FUN_0602F178,0x0602F178,0,0,SILENT
FUN_0602F1D4,0x0602F1D4,0,0,SILENT
FUN_0602F20C,0x0602F20C,0,0,SILENT
FUN_0602F2B8,0x0602F2B8,0,0,SILENT
FUN_0602F312,0x0602F312,0,0,SILENT
FUN_0602F32A,0x0602F32A,0,0,SILENT
FUN_0602F34A,0x0602F34A,2,0,REAL_FIRE
FUN_0602F3F0,0x0602F3F0,0,0,SILENT
FUN_0602F42C,0x0602F42C,0,0,SILENT
FUN_0602F4A6,0x0602F4A6,0,0,SILENT
FUN_0602F4DA,0x0602F4DA,0,0,SILENT
FUN_0602F51C,0x0602F51C,0,0,SILENT
FUN_0602F564,0x0602F564,0,0,SILENT
FUN_0602F5B2,0x0602F5B2,0,0,SILENT
FUN_0602F65C,0x0602F65C,0,0,SILENT
FUN_0602F7C0,0x0602F7C0,0,0,SILENT
FUN_0602F814,0x0602F814,0,0,SILENT
FUN_0602F81E,0x0602F81E,1,0,REAL_FIRE
FUN_0602F8E8,0x0602F8E8,1,0,REAL_FIRE
FUN_0602FA88,0x0602FA88,1,1,REAL_FIRE
