frame,+0x00,+0x04,+0x08,+0x0C
0,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
1,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
2,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
3,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
4,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
5,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
6,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
7,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
8,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
9,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
10,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
11,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
12,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
13,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
14,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
15,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
16,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
17,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
18,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
19,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
20,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
21,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
22,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
23,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
24,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
25,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
26,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
27,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
28,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
29,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
30,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
31,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
32,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
33,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
34,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
35,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
36,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
37,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
38,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
39,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
40,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
41,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
42,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
43,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
44,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
45,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
46,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
47,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
48,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
49,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
50,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
51,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
52,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
53,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
54,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
55,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
56,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
57,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
58,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
59,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
60,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
61,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
62,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
63,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
64,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
65,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
66,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
67,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
68,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
69,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
70,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
71,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
72,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
73,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
74,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
75,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
76,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
77,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
78,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
79,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
80,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
81,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
82,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
83,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
84,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
85,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
86,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
87,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
88,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
89,0xFEAF0000,0x00190F1A,0xFFBF0000,0x00000000
90,0xFEAF0000,0x00190F1A,0xFFBF0248,0x00000000
91,0xFEAF0000,0x00190F1A,0xFFBF0248,0x00000000
92,0xFEAF0000,0x00190F1A,0xFFBF05E7,0x00000000
93,0xFEAF0000,0x00190F1A,0xFFBF05E7,0x00000000
94,0xFEAF0000,0x00190F1A,0xFFBF0B12,0x00000000
95,0xFEAF0000,0x00190F1A,0xFFBF0B12,0x00000000
96,0xFEAF0000,0x00190F1A,0xFFBF1201,0x00000000
97,0xFEAF0000,0x00190F1A,0xFFBF1201,0x00000000
98,0xFEAF0000,0x00190F1A,0xFFBF1AEA,0x00000000
99,0xFEAF0000,0x00190F1A,0xFFBF1AEA,0x00000000
100,0xFEAF0000,0x00190F1A,0xFFBF25F5,0x00000000
101,0xFEAF0000,0x00190F1A,0xFFBF25F5,0x00000000
102,0xFEAF0000,0x00190F1A,0xFFBF3352,0x00000000
103,0xFEAF0000,0x00190F1A,0xFFBF3352,0x00000000
104,0xFEAF0000,0x00190F1A,0xFFBF4333,0x00000000
105,0xFEAF0000,0x00190F1A,0xFFBF4333,0x00000000
106,0xFEAF0000,0x00190F1A,0xFFBF55C6,0x00000000
107,0xFEAF0000,0x00190F1A,0xFFBF55C6,0x00000000
108,0xFEAF0000,0x00190F1A,0xFFBF6B3B,0x00000000
109,0xFEAF0000,0x00190F1A,0xFFBF6B3B,0x00000000
110,0xFEAF0000,0x00190F1A,0xFFBF83AC,0x00000000
111,0xFEAF0000,0x00190F1A,0xFFBF83AC,0x00000000
112,0xFEAF0000,0x00190F1A,0xFFBF9F14,0x00000000
113,0xFEAF0000,0x00190F1A,0xFFBF9F14,0x00000000
114,0xFEAF0000,0x00190F1A,0xFFBFBD6E,0x00000000
115,0xFEAF0000,0x00190F1A,0xFFBFBD6E,0x00000000
116,0xFEAF0000,0x00190F1A,0xFFBFDEB2,0x00000000
117,0xFEAF0000,0x00190F1A,0xFFBFDEB2,0x00000000
118,0xFEAF0000,0x00190F1A,0xFFC002DB,0x00000000
119,0xFEAF0000,0x00190F1A,0xFFC002DB,0x00000000
120,0xFEAF0000,0x00190F1A,0xFFC029E4,0x00000000
121,0xFEAF0000,0x00190F1A,0xFFC029E4,0x00000000
122,0xFEAF0000,0x00190F1A,0xFFC053C5,0x00000000
123,0xFEAF0000,0x00190F1A,0xFFC053C5,0x00000000
124,0xFEAF0000,0x00190F1A,0xFFC08079,0x00000000
125,0xFEAF0000,0x00190F1A,0xFFC08079,0x00000000
126,0xFEAF0000,0x00190F1A,0xFFC0AFFB,0x00000000
127,0xFEAF0000,0x00190F1A,0xFFC0AFFB,0x00000000
128,0xFEAF0000,0x00190F1A,0xFFC0E243,0x00000000
129,0xFEAF0000,0x00190F1A,0xFFC0E243,0x00000000
130,0xFEAF0000,0x00190F1A,0xFFC1174C,0x00000000
131,0xFEAF0000,0x00190F1A,0xFFC1174C,0x00000000
132,0xFEAF0000,0x00190F1A,0xFFC14F11,0x00000000
133,0xFEAF0000,0x00190F1A,0xFFC14F11,0x00000000
134,0xFEAF0000,0x00190F1A,0xFFC1898A,0x00000000
135,0xFEAF0000,0x00190F1A,0xFFC1898A,0x00000000
136,0xFEAF0000,0x00190F1A,0xFFC1C6B2,0x00000000
137,0xFEAF0000,0x00190F1A,0xFFC1C6B2,0x00000000
138,0xFEAF0000,0x00190F1A,0xFFC20684,0x00000000
139,0xFEAF0000,0x00190F1A,0xFFC20684,0x00000000
140,0xFEAF0000,0x00190F1A,0xFFC248F8,0x00000000
141,0xFEAF0000,0x00190F1A,0xFFC248F8,0x00000000
142,0xFEAF0000,0x00190F1A,0xFFC28E09,0x00000000
143,0xFEAF0000,0x00190F1A,0xFFC28E09,0x00000000
144,0xFEAF0000,0x00190F1A,0xFFC2D5B0,0x00000000
145,0xFEAF0000,0x00190F1A,0xFFC2D5B0,0x00000000
146,0xFEAF0000,0x00190F1A,0xFFC31FE8,0x00000000
147,0xFEAF0000,0x00190F1A,0xFFC31FE8,0x00000000
148,0xFEAF0000,0x00190F1A,0xFFC36CAC,0x00000000
149,0xFEAF0000,0x00190F1A,0xFFC36CAC,0x00000000
150,0xFEAF0000,0x00190F1A,0xFFC3BBF4,0x00000000
151,0xFEAF0000,0x00190F1A,0xFFC3BBF4,0x00000000
152,0xFEAF0000,0x00190F1A,0xFFC40DBB,0x00000000
153,0xFEAF0000,0x00190F1A,0xFFC40DBB,0x00000000
154,0xFEAF0000,0x00190F1A,0xFFC461FA,0x00000000
155,0xFEAF0000,0x00190F1A,0xFFC461FA,0x00000000
156,0xFEAF0000,0x00190F1A,0xFFC4B8AC,0x00000000
157,0xFEAF0000,0x00190F1A,0xFFC4B8AC,0x00000000
158,0xFEAF0000,0x00190F1A,0xFFC511CA,0x00000000
159,0xFEAF0000,0x00190F1A,0xFFC511CA,0x00000000
160,0xFEAF0000,0x00190F1A,0xFFC56D4F,0x00000000
161,0xFEAF0000,0x00190F1A,0xFFC56D4F,0x00000000
162,0xFEAF0000,0x00190F1A,0xFFC5CB36,0x00000000
163,0xFEAF0000,0x00190F1A,0xFFC5CB36,0x00000000
164,0xFEAF0000,0x00190F1A,0xFFC62B78,0x00000000
165,0xFEAF0000,0x00190F1A,0xFFC62B78,0x00000000
166,0xFEAF0000,0x00190F1A,0xFFC68E10,0x00000000
167,0xFEAF0000,0x00190F1A,0xFFC68E10,0x00000000
168,0xFEAF0000,0x00190F1A,0xFFC6F2F7,0x00000000
169,0xFEAF0000,0x00190F1A,0xFFC6F2F7,0x00000000
170,0xFEAF0000,0x00190F1A,0xFFC75A29,0x00000000
171,0xFEAF0000,0x00190F1A,0xFFC75A29,0x00000000
172,0xFEAF0000,0x00190F1A,0xFFC7C39F,0x00000000
173,0xFEAF0000,0x00190F1A,0xFFC7C39F,0x00000000
174,0xFEAF0000,0x00190F1A,0xFFC82F54,0x00000000
175,0xFEAF0000,0x00190F1A,0xFFC82F54,0x00000000
176,0xFEAF0000,0x00190F1A,0xFFC89D41,0x00000000
177,0xFEAF0000,0x00190F1A,0xFFC89D41,0x00000000
178,0xFEAF0000,0x00190F1A,0xFFC90D62,0x00000000
179,0xFEAF0000,0x00190F1A,0xFFC90D62,0x00000000
180,0xFEAF0000,0x00190F1A,0xFFC97FB0,0x00000000
181,0xFEAF0000,0x00190F1A,0xFFC97FB0,0x00000000
182,0xFEAF0000,0x00190F1A,0xFFC9F426,0x00000000
183,0xFEAF0000,0x00190F1A,0xFFC9F426,0x00000000
184,0xFEAF0000,0x00190F1A,0xFFCA6ABE,0x00000000
185,0xFEAF0000,0x00190F1A,0xFFCA6ABE,0x00000000
186,0xFEAF0000,0x00190F1A,0xFFCAE373,0x00000000
187,0xFEAF0000,0x00190F1A,0xFFCAE373,0x00000000
188,0xFEAF0000,0x00190F1A,0xFFCB5E3F,0x00000000
189,0xFEAF0000,0x00190F1A,0xFFCB5E3F,0x00000000
190,0xFEAF0000,0x00190F1A,0xFFCBDB1D,0x00000000
191,0xFEAF0000,0x00190F1A,0xFFCBDB1D,0x00000000
192,0xFEAF0000,0x00190F1A,0xFFCC5A1F,0x00000000
193,0xFEAF0000,0x00190F1A,0xFFCC5A1F,0x00000000
194,0xFEAF0000,0x00190F1A,0xFFCCDB58,0x00000000
195,0xFEAF0000,0x00190F1A,0xFFCCDB58,0x00000000
196,0xFEAF0000,0x00190F1A,0xFFCD5EDA,0x00000000
197,0xFEAF0000,0x00190F1A,0xFFCD5EDA,0x00000000
198,0xFEAF0000,0x00190F1A,0xFFCDE4B9,0x00000000
199,0xFEAF0000,0x00190F1A,0xFFCDE4B9,0x00000000
200,0xFEAF0000,0x00190F1A,0xFFCE6D07,0x00000000
201,0xFEAF0000,0x00190F1A,0xFFCE6D07,0x00000000
202,0xFEAF0000,0x00190F1A,0xFFCEF7D7,0x00000000
203,0xFEAF0000,0x00190F1A,0xFFCEF7D7,0x00000000
204,0xFEAF0000,0x00190F1A,0xFFCF853B,0x00000000
205,0xFEAF0000,0x00190F1A,0xFFCF853B,0x00000000
206,0xFEAF0000,0x00190F1A,0xFFD01547,0x00000000
207,0xFEAF0000,0x00190F1A,0xFFD01547,0x00000000
208,0xFEAF0000,0x00190F1A,0xFFD0A80F,0x00000000
209,0xFEAF0000,0x00190F1A,0xFFD0A80F,0x00000000
210,0xFEAF0000,0x00190F1A,0xFFD13DA5,0x00000000
211,0xFEAF0000,0x00190F1A,0xFFD13DA5,0x00000000
212,0xFEAF0000,0x00190F1A,0xFFD1D61D,0x00000000
213,0xFEAF0000,0x00190F1A,0xFFD1D61D,0x00000000
214,0xFEAF0000,0x00190F1A,0xFFD2718B,0x00000000
215,0xFEAF0000,0x00190F1A,0xFFD2718B,0x00000000
216,0xFEAF0000,0x00190F1A,0xFFD31001,0x00000000
217,0xFEAF0000,0x00190F1A,0xFFD31001,0x00000000
218,0xFEAF0000,0x00190F1A,0xFFD3B193,0x00000000
219,0xFEAF0000,0x00190F1A,0xFFD3B193,0x00000000
220,0xFEAF0000,0x00190F1A,0xFFD45655,0x00000000
221,0xFEAF0000,0x00190F1A,0xFFD45655,0x00000000
222,0xFEAF0000,0x00190F1A,0xFFD4FE59,0x00000000
223,0xFEAF0000,0x00190F1A,0xFFD4FE59,0x00000000
224,0xFEAF0000,0x00190F1A,0xFFD5A9B3,0x00000000
225,0xFEAF0000,0x00190F1A,0xFFD5A9B3,0x00000000
226,0xFEAF0000,0x00190F1A,0xFFD65877,0x00000000
227,0xFEAF0000,0x00190F1A,0xFFD65877,0x00000000
228,0xFEAF0000,0x00190F1A,0xFFD70AB9,0x00000000
229,0xFEAF0000,0x00190F1A,0xFFD70AB9,0x00000000
230,0xFEAF0000,0x00190F1A,0xFFD7C08C,0x00000000
231,0xFEAF0000,0x00190F1A,0xFFD7C08C,0x00000000
232,0xFEAF0000,0x00190F1A,0xFFD879F2,0x00000000
233,0xFEAF0000,0x00190F1A,0xFFD879F2,0x00000000
234,0xFEAF0000,0x00190F1A,0xFFD936EC,0x00000000
235,0xFEAF0000,0x00190F1A,0xFFD936EC,0x00000000
236,0xFEAF0000,0x00190F1A,0xFFD9F77B,0x00000000
237,0xFEAF0000,0x00190F1A,0xFFD9F77B,0x00000000
238,0xFEAF0000,0x00190F1A,0xFFDABB9F,0x00000000
239,0xFEAF0000,0x00190F1A,0xFFDABB9F,0x00000000
240,0xFEAF0000,0x00190F1A,0xFFDB8359,0x00000000
