frame,+0x00,+0x04,+0x08,+0x0C
470,0xFED3E372,0x000000FA,0xFFB70E65,0x0000FADF
471,0xFED41957,0x000000F6,0xFFB8B8B0,0x0000FA74
472,0xFED41957,0x000000F6,0xFFB8B8B0,0x0000FA74
473,0xFED453F9,0x000000F1,0xFFBA63A4,0x0000FA3A
474,0xFED453F9,0x000000F1,0xFFBA63A4,0x0000FA3A
475,0xFED4916B,0x000000EC,0xFFBC0F7F,0x0000FA1D
476,0xFED4916B,0x000000EC,0xFFBC0F7F,0x0000FA1D
477,0xFED4CFB5,0x000000E7,0xFFBDBC82,0x0000FA14
478,0xFED4CFB5,0x000000E7,0xFFBDBC82,0x0000FA14
479,0xFED50ED7,0x000000E3,0xFFBF6AB4,0x0000FA0B
480,0xFED50ED7,0x000000E3,0xFFBF6AB4,0x0000FA0B
481,0xFED54E29,0x000000DE,0xFFC11A29,0x0000FA0B
482,0xFED54E29,0x000000DE,0xFFC11A29,0x0000FA0B
483,0xFED58DAA,0x000000D9,0xFFC2CAE0,0x0000FA0B
484,0xFED58DAA,0x000000D9,0xFFC2CAE0,0x0000FA0B
485,0xFED5CD5A,0x000000D4,0xFFC47CDA,0x0000FA0B
486,0xFED5CD5A,0x000000D4,0xFFC47CDA,0x0000FA0B
487,0xFED60D3A,0x000000D0,0xFFC63016,0x0000FA0B
488,0xFED60D3A,0x000000D0,0xFFC63016,0x0000FA0B
489,0xFED64D49,0x000000CB,0xFFC7E493,0x0000FA0B
490,0xFED64D49,0x000000CB,0xFFC7E493,0x0000FA0B
491,0xFED68D87,0x000000C6,0xFFC99A52,0x0000FA0B
492,0xFED68D87,0x000000C6,0xFFC99A52,0x0000FA0B
493,0xFED6CDF4,0x000000C1,0xFFCB5152,0x0000FA0B
494,0xFED6CDF4,0x000000C1,0xFFCB5152,0x0000FA0B
495,0xFED70E90,0x000000BC,0xFFCD0993,0x0000FA0B
496,0xFED70E90,0x000000BC,0xFFCD0993,0x0000FA0B
497,0xFED74F5B,0x000000B7,0xFFCEC314,0x0000FA0B
498,0xFED74F5B,0x000000B7,0xFFCEC314,0x0000FA0B
499,0xFED79055,0x000000B2,0xFFD07DD5,0x0000FA0B
500,0xFED79055,0x000000B2,0xFFD07DD5,0x0000FA0B
501,0xFED7D17E,0x000000AE,0xFFD239D5,0x0000FA0B
502,0xFED7D17E,0x000000AE,0xFFD239D5,0x0000FA0B
503,0xFED812D6,0x000000A9,0xFFD3F715,0x0000FA15
504,0xFED812D6,0x000000A9,0xFFD3F715,0x0000FA15
505,0xFED850EB,0x000000A4,0xFFD5B613,0x0000FA47
506,0xFED850EB,0x000000A4,0xFFD5B613,0x0000FA47
507,0xFED88FDE,0x0000009F,0xFFD77634,0x0000FA65
508,0xFED88FDE,0x0000009F,0xFFD77634,0x0000FA65
509,0xFED8CCEA,0x0000009A,0xFFD937DB,0x0000FA79
510,0xFED8CCEA,0x0000009A,0xFFD937DB,0x0000FA79
511,0xFED90A21,0x00000095,0xFFDAFAC1,0x0000FA83
512,0xFED90A21,0x00000095,0xFFDAFAC1,0x0000FA83
513,0xFED94783,0x00000090,0xFFDCBEE6,0x0000FA83
514,0xFED94783,0x00000090,0xFFDCBEE6,0x0000FA83
515,0xFED98510,0x0000008B,0xFFDE8449,0x0000FA83
516,0xFED98510,0x0000008B,0xFFDE8449,0x0000FA83
517,0xFED9C2C8,0x00000086,0xFFE04AE9,0x0000FA83
518,0xFED9C2C8,0x00000086,0xFFE04AE9,0x0000FA83
519,0xFEDA00AB,0x00000081,0xFFE212C6,0x0000FA83
520,0xFEDA00AB,0x00000081,0xFFE212C6,0x0000FA83
521,0xFEDA3EB9,0x0000007C,0xFFE3DBDF,0x0000FA83
522,0xFEDA3EB9,0x0000007C,0xFFE3DBDF,0x0000FA83
523,0xFEDA7CF2,0x00000077,0xFFE5A634,0x0000FA83
524,0xFEDA7CF2,0x00000077,0xFFE5A634,0x0000FA83
525,0xFEDABB56,0x00000072,0xFFE771C5,0x0000FA83
526,0xFEDABB56,0x00000072,0xFFE771C5,0x0000FA83
527,0xFEDAF9E5,0x0000006D,0xFFE93E93,0x0000FA83
528,0xFEDAF9E5,0x0000006D,0xFFE93E93,0x0000FA83
529,0xFEDB389F,0x00000067,0xFFEB0C9C,0x0000FA83
530,0xFEDB389F,0x00000067,0xFFEB0C9C,0x0000FA83
531,0xFEDB76D4,0x00000062,0xFFECDBFD,0x0000FA8D
532,0xFEDB76D4,0x00000062,0xFFECDBFD,0x0000FA8D
533,0xFEDBB257,0x0000005D,0xFFEEACF7,0x0000FAC1
534,0xFEDBB257,0x0000005D,0xFFEEACF7,0x0000FAC1
535,0xFEDBE845,0x00000058,0xFFF07FDC,0x0000FB2B
536,0xFEDBE845,0x00000058,0xFFF07FDC,0x0000FB2B
537,0xFEDC1727,0x00000053,0xFFF254C3,0x0000FBE0
